Alvar Aalto
Slim Aarons
Edwin Austin Abbey
Gertrude Abercrombie
Marina Abramović
Tomma Abts
Vito Acconci
Andreas Achenbach
Norman Ackroyd
Ansel Adams
Arthur Adams
Neal Adams
Josh Adamski
Charles Addams
Etel Adnan
Mattias Adolfsson
Alena Aenami
Pieter Aertsen
Hilma af Klint
Affandi
Leonid Afremov
Yaacov Agam
Eileen Agar
Jacques-Laurent Agasse
Craigie Aitchison
Doug Aitken
Ivan Aivazovsky
David Aja
Sherry Akrami
Rashad Alakbarov
Anni Albers
Josef Albers
Alessio Albi
Ivan Albright
Rafael Albuquerque
Miles Aldridge
Alex Alemany
John White Alexander
Helen Allingham
Alessandro Allori
Mike Allred
Nick Alm
Lawrence Alma-Tadema
Lilia Alvarado
Emil Alzamora
Yoshitaka Amano
Ghada Amer
Cuno Amiet
Rick Amor
Fernando Amorsolo
Jay Anacleto
El Anatsui
Anna Ancher
Michael Ancher
Hans Christian Andersen
Sarah Andersen
Richard Anderson
Sophie Anderson
Wes Anderson
Tadao Ando
Alex Andreev
Esao Andrews
Fra Angelico
Charles Angrand
Sofonisba Anguissola
Miss Aniela
Albrecht Anker
Mary Anning
Louis Anquetin
Mary Jane Ansell
Martin Ansin
Janine Antoni
Chiho Aoshima
Sabbas Apterus
Ron Arad
Sergio Aragonés
Hirohiko Araki
Nobuyoshi Araki
Shinji Aramaki
Diane Arbus
Cory Arcangel
Archillect
Alexander Archipenko
Giuseppe Arcimboldo
Mordecai Ardon
Steve Argyle
Mark Arian
Abram Efimovich Arkhipov
Howard Arkley
Rolf Armstrong
Alois Arnegger
Eve Arnold
Gerd Arntz
Floris Arntzenius
Guy Aroch
Ben Aronson
Jean Arp
Agostino Arrivabene
Daniel Arsham
Artgerm
Miki Asai
Inio Asano
Clemens Ascher
Henry Asencio
Eugène Atget
Andrew Atroshenko
John James Audubon
Frank Auerbach
George Ault
Hendrick Avercamp
Alexandr Averin
Milton Avery
Tex Avery
Deborah Azzopardi
Carrie Ann Baade
Ingrid Baars
Chris Bachalo
Anne Bachelier
Harriet Backer
Francis Bacon
Firmin Baes
Peter Bagge
Tom Bagshaw
Laurent Baheux
David Bailey
Alice Bailly
Karol Bak
Ralph Bakshi
Léon Bakst
Christopher Balaskas
Jamie Baldridge
Hans Baldung
Ronald Balfour
Emily Balivet
Peder Balke
Giacomo Balla
Balthus
Hans Baluschek
Benedick Bana
Banksy
Giorgio Barbarelli da Castelfranco
Thomas Barbey
George Barbier
Cicely Mary Barker
Clive Barker
Carl Barks
Ernst Barlach
Phyllida Barlow
Wayne Barlowe
Ernie Barnes
Will Barnet
Matthew Barney
Wilhelmina Barns-Graham
Angela Barrett
Lynda Barry
Paul Barson
Bo Bartlett
Peter Basch
Georg Baselitz
Gary Baseman
Jean-Michel Basquiat
Jacopo Bassano
Willem Basse
Lillian Bassman
Jules Bastien-Lepage
Robert Bateman
David Bates
John Batho
Pompeo Batoni
John Bauer
Casey Baugh
Gustave Baumann
Willi Baumeister
Edward Bawden
Herbert Bayer
Frederic Bazille
Gifford Beal
Mary Beale
Alan Bean
Romare Bearden
Aubrey Beardsley
Cecil Beaton
Kate Beaton
Jacques-Firmin Beauvarlet
Cecilia Beaux
Alison Bechdel
Jasmine Becket-Griffith
Max Beckmann
Vanessa Beecroft
Beeple
Zdzisław Beksiński
Julie Bell
Vanessa Bell
Hans Bellmer
Bernardo Bellotto
George Bellows
Lynda Benglis
Jean-Joseph Benjamin-Constant
Albert Benois
Alexandre Benois
Ambrosius Benson
Frank Weston Benson
Thomas Hart Benton
Stan Berenstain
Richard Bergh
Don Bergland
Jody Bergsma
John Berkey
Émile Bernard
Ruth Bernhard
Gian Lorenzo Bernini
Harry Bertoia
Elsa Beskow
Joachim Beuckelaer
Joseph Beuys
Marta Bevacqua
Simone Bianchi
Alberto Biasi
Albert Bierstadt
John T. Biggers
Enki Bilal
Ivan Bilibin
Richard Billingham
Guy Billout
Butcher Billy
Ilse Bing
Xu Bing
George Caleb Bingham
Ed Binkley
Simon Birch
Thomas Birch
George Birrell
Simon Bisley
Robert Bissell
William Kay Blacklock
Charles Blackman
Julie Blackmon
Thomas Blackshear
Algernon Blackwood
Mary Blair
Peter Blake
Quentin Blake
William Blake
Ralph Blakelock
Antoine Blanchard
John Blanche
Don Blanding
Elsa Bleda
Carolyn Blish
Karl Blossfeldt
Norman Bluhm
Erwin Blumenfeld
Don Bluth
Umberto Boccioni
Anna Bocek
Arnold Böcklin
Ricardo Bofill
Lee Bogle
Giovanni Boldini
Brian Bolland
Enoch Bolles
Christian Boltanski
David Bomberg
Tami Bone
Chesley Bonestell
Rosa Bonheur
Olivier Bonhomme
Richard Parkes Bonington
Pierre Bonnard
Lee Bontecou
Franklin Booth
Artur Bordalo
Bordalo II
Guido Borelli da Caluso
Marius Borgeaud
Michael Borremans
Francesco Borromini
Matt Bors
Flora Borsi
Hieronymus Bosch
Sam Bosma
Ambrosius Bosschaert
Johfra Bosschart
Fernando Botero
Sandro Botticelli
François Boucher
Eugène Boudin
George Henry Boughton
William-Adolphe Bouguereau
Susan Seddon Boulet
Andre-Charles Boulle
Louise Bourgeois
Annick Bouvattier
Charlie Bowater
David Michael Bowers
Arthur Boyd
Eleanor Vere Boyle
John Brack
Noah Bradley
Frank Bramley
Constantin Brancusi
Bill Brandt
Georges Braque
Brassaï
John Bratby
Bill Brauer
Victor Brauner
David Brayne
Hans Andersen Brendekilde
Marianne Breslauer
Jules Breton
Marcel Breuer
Aleksi Briclot
Frederick Arthur Bridgman
Austin Briggs
Raymond Briggs
Anne Brigman
Mark Briscoe
Romero Britto
Joachim Brohm
Gerald Brom
Bronzino
Herman Brood
Mark Brooks
Romaine Brooks
Troy Brooks
Allie Brosh
Cecily Brown
Ford Madox Brown
Lucy Madox Brown
Patrick Brown
Rob Browning
Ed Brubaker
Pieter Bruegel the Elder
Jan Brueghel the Elder
Pieter Brueghel the Younger
Filippo Brunelleschi
Nicolas Bruno
Gustave Buchet
Philippe Buchet
Quint Buchholz
Zoe Buckman
Bernard Buffet
Leszek Bujnowski
James Bullough
Rupert Bunny
Gary Bunt
Laurel Burch
Charles E. Burchfield
David Burdeny
Alejandro Burdisio
Daniel Buren
Jon Burgerman
Richard Burlet
David Burliuk
Edward Burne-Jones
Charles Burns
Jim Burns
Alberto Burri
Rene Burri
Stasia Burrington
William S. Burroughs
Tim Burton
John Buscema
Gaston Bussière
Kaethe Butcher
Saturno Butto
Byam Shaw
James Lee Byars
Bob Byerley
Alexandre Cabanel
Paul Cadmus
Ray Caesar
Debbie Fleming Caffery
Claude Cahun
Zhichao Cai
Gustave Caillebotte
Alexandre Calame
Santiago Calatrava
Randolph Caldecott
Clyde Caldwell
George Callaghan
Harry Callahan
Vincent Callebaut
Fred Calleri
Jo Ann Callis
Charles Camoin
Mike Campau
Eddie Campbell
J. Scott Campbell
Robert Campin
Pascale Campion
Canaletto
Eric Canete
Antonio Canova
Josef Capek
Al Capp
Leonetto Cappiello
Caravaggio
Eric Carle
Emil Carlsen
