Abbott's Booby
Acorn Woodpecker
American Avocet
American Bittern
American Coot
American Crow
American Goldfinch
American Kestrel
American Oystercatcher
American Redstart
American Robin
American White Pelican
American Woodcock
Anhinga
Anna's Hummingbird
Ash-Throated Flycatcher
Asian Emerald Dove
Asian Koel
Atlantic Puffin
Audouin's Gull
Australasian Pipit
Australasian Shoveler
Australian Ibis
Australian Magpie
Australian Owlet-Nightjar
Australian Raven
Australian Reed Warbler
Australian Shelduck
Australian Zebra Finch
Azure Tit
Baird's Sparrow
Bald Eagle
Baltimore Oriole
Barn Owl
Barn Swallow
Barred Owl
Barrow's Goldeneye
Baya Weaver
Bearded Reedling
Bell's Vireo
Belted Kingfisher
Bewick's Wren
Black Drongo
Black Noddy
Black Redstart
Black Skimmer
Black Stork
Black Swan
Black Tern
Black Vulture
Black Woodpecker
Black-Bellied Whistling Duck
Black-Billed Magpie
Black-Chinned Hummingbird
Black-Crowned Night-Heron
Black-Headed Gull
Black-Naped Oriole
Black-Necked Stilt
Black-Shouldered Kite
Black-Tailed Godwit
Black-Throated Diver
Blue Grosbeak
Blue Jay
Blue Rock-Thrush
Blue-Gray Gnatcatcher
Blue-Winged Warbler
Bluethroat
Blyth's Hornbill
Bobolink
Bonelli's Eagle
Brahminy Kite
Brambling
Brant
Brewer's Blackbird
Broad-Winged Hawk
Brolga
Bronzed Cowbird
Brown Falcon
Brown Pelican
Brown Shrike
Brown-Headed Cowbird
Budgerigar
Bullfinch
Burrowing Owl
Bushtit
California Condor
California Quail
Canada Goose
Canvasback
Carolina Chickadee
Carolina Wren
Carrion Crow
Cassin's Finch
Cassin's Sparrow
Cedar Waxwing
Cerulean Warbler
Cetti's Warbler
Chestnut-Collared Longspur
Chihuahuan Raven
Chimney Swift
Chipping Sparrow
Clark's Grebe
Clark's Nutcracker
Coal Tit
Cockatiel
Common Blackbird
Common Buzzard
Common Chaffinch
Common Chiffchaff
Common Cuckoo
Common Goldeneye
Common Grackle
Common Green Magpie
Common Iora
Common Kingfisher
Common Little Bittern
Common Loon
Common Merganser
Common Moorhen
Common Myna
Common Nighthawk
Common Nightingale
Common Raven
Common Sandpiper
Common Starling
Common Swift
Common Tailorbird
Common Teal
Common Yellowthroat
Cooper's Hawk
Coppersmith Barbet
Corsican Nuthatch
Count Raggi's Bird-of-Paradise
Crested Ibis
Crested Lark
Crested Pigeon
Crimson Chat
Dark-Eyed Junco
Desert Finch
Desert Wheatear
Dickcissel
Double-Crested Cormorant
Downy Woodpecker
Dunnock
Eastern Bluebird
Eastern Imperial Eagle
Eastern Kingbird
Eastern Phoebe
Eastern Rosella
Eastern Screech Owl
Eastern Whipbird
Eleonora's Falcon
Emu
Eurasian Collared-Dove
Eurasian Coot
Eurasian Eagle-Owl
Eurasian Golden Oriole
Eurasian Green Woodpecker
Eurasian Hobby
Eurasian Hoopoe
Eurasian Jay
Eurasian Kestrel
Eurasian Magpie
Eurasian Marsh-Harrier
Eurasian Nutcracker
Eurasian Nuthatch
Eurasian Sparrowhawk
Eurasian Tree Sparrow
Eurasian Treecreeper
European Bee-Eater
European Goldfinch
European Honey Buzzard
European Robin
European Roller
European Turtle Dove
Ferruginous Hawk
Fire-Fronted Serin
Fish Crow
Forest Owlet
Forster's Tern
Franklin's Gull
Galah
Goldcrest
Golden Eagle
Golden Pheasant
Golden-Headed Cisticola
Gould's Finch
Graceful Prinia
Grandala
Grasshopper Sparrow
Gray Catbird
Gray Wagtail
Great Blue Heron
Great Cormorant
Great Crested Flycatcher
Great Crested Grebe
Great Egret
Great Hornbill
Great Horned Owl
Great Indian Bustard
Great Spotted Woodpecker
Great Tit
Greater Adjutant
Greater Flamingo
Greater Prairie Chicken
Greater Roadrunner
Green Bee-Eater
Green Heron
Green Pheasant
Green Pygmy-Goose
Grey Butcherbird
Grey Heron
Grey Shrikethrush
Grey Teal
Grey Warbler
Grey-Headed Mannikin
Greylag Goose
Griffon Vulture
Hawfinch
Hermit Thrush
Himalayan Monal
Hooded Crow
Hooded Merganser
Hooded Warbler
Horned Lark
Horsfield's Bronze-Cuckoo
Horsfield's Bushlark
House Crow
House Finch
House Sparrow
House Wren
Ibisbill
Inca Dove
Indian Peafowl
Indian Vulture
Indigo Bunting
Juniper Titmouse
Kea
Kelp Gull
Kererū
Killdeer
King Rail
Korimako
Kākāpō
Large-Billed Crow
Laughing Kookaburra
Lazuli Bunting
Lesser Frigatebird
Lesser Whitethroat
Lewin's Honeyeater
Lincoln's Sparrow
Little Bustard
Little Egret
Little Grebe
Little Owl
Little Penguin
Little Pied Cormorant
Little Ringed Plover
Loggerhead Shrike
Long-Tailed Tit
Magpie-Lark
Major Mitchell's Cockatoo
Mallard
Malleefowl
Mandarin Duck
Maned Duck
Many-Colored Fruit Dove
Masked Lapwing
Mississippi Kite
Mistletoebird
Moltoni's Warbler
Montagu's Harrier
Mountain Bluebird
Mountain Chickadee
Mourning Dove
Musk Duck
Mute Swan
New Holland Honeyeater
Noisy Miner
North Island Brown Kiwi
Northern Bobwhite
Northern Cardinal
Northern Flicker
Northern Gannet
Northern Goshawk
Northern Harrier
Northern Mockingbird
Northern Shoveler
Olive-Backed Sunbird
Orange-Footed Scrubfowl
Oriental Bay-Owl
Oriental Magpie-Robin
Osprey
Pacific Black Duck
Painted Bunting
Painted Whitestart
Parrot Crossbill
Peaceful Dove
Peregrine Falcon
Pesquet's Parrot
Pheasant Coucal
Philippine Eagle
Pied-Billed Grebe
Pileated Woodpecker
Pine Siskin
Pink-Eared Duck
Plains-Wanderer
Plumbeous Redstart
Princess Stephanie's Astrapia
Prothonotary Warbler
Purple Gallinule
Purple Heron
Purple Martin
Pygmy Nuthatch
Pūkeko
Rainbow Lorikeet
Red Avadavat
Red Crossbill
Red Junglefowl
Red Kite
Red Knot
Red Wattlebird
Red-Backed Fairywren
Red-Backed Shrike
Red-Bellied Woodpecker
Red-Breasted Merganser
Red-Breasted Nuthatch
Red-Capped Robin
Red-Cockaded Woodpecker
Red-Crowned Crane
Red-Eyed Vireo
Red-Headed Woodpecker
Red-Legged Partridge
Red-Necked Avocet
Red-Shouldered Hawk
Red-Tailed Hawk
Red-Vented Bulbul
Red-Wattled Lapwing
Red-Winged Blackbird
Red-Winged Parrot
Regent Bowerbird
Rhinoceros Auklet
Ring-Billed Gull
Rock Pigeon
Rook
Rose-Breasted Grosbeak
Rose-Ringed Parakeet
Roseate Spoonbill
Rosy Starling
Royal Spoonbill
Ruby-Crowned Kinglet
Ruby-Throated Hummingbird
Ruddy Duck
Ruddy Shelduck
Ruff
Rufous Night-Heron
Rufous Owl
Rufous-Banded Honeyeater
Sacred Kingfisher
Sandhill Crane
Sarus Crane
Satyr Tragopan
Savannah Sparrow
Savi's Warbler
Say's Phoebe
Scaled Quail
Scaly-Breasted Munia
Scissor-Tailed Flycatcher
Short-Toed Treecreeper
Silvereye
Small Minivet
Smew
Snow Bunting
Snowy Egret
Snowy Owl
Song Sparrow
South Island Robin
Southern Cassowary
Spangled Drongo
Splendid Fairywren
Spoon-Billed Sandpiper
Spotless Crake
Spotted Dove
Spotted Owl
Spotted Sandpiper
Spotted Towhee
Sprague's Pipit
Squacco Heron
Sri Lanka Blue-Magpie
Sri Lanka Frogmouth
Steller's Jay
Stork-Billed Kingfisher
Stubble Quail
Sulphur-Crested Cockatoo
Superb Lyrebird
Swainson's Hawk
Tawny Frogmouth
Thekla's Lark
Tree Swallow
Trumpeter Finch
Trumpeter Swan
Tufted Titmouse
Turkey Vulture
Twite
Tūī
Vaux's Swift
Verditer Flycatcher
Violet Cuckoo
Violet-Green Swallow
Wedge-Tailed Eagle
Welcome Swallow
Western Meadowlark
Western Tanager
White Stork
White Wagtail
White-Backed Woodpecker
White-Bellied Sea-Eagle
White-Breasted Nuthatch
White-Breasted Woodswallow
White-Browed Tit-Warbler
White-Crested Laughingthrush
White-Crowned Sparrow
White-Faced Heron
White-Faced Ibis
White-Headed Duck
White-Throated Dipper
White-Throated Kingfisher
White-Throated Swift
Whooping Crane
Wild Turkey
Willet
Willie-Wagtail
Willow Tit
Wilson's Snipe
Wilson's Storm Petrel
Wood Duck
Wood Stork
Wrybill
Yellow Bittern
Yellow-Bellied Sapsucker
Yellow-Billed Cuckoo
Yellow-Breasted Chat
Yellow-Headed Blackbird
Yellow-Rumped Warbler
Yellowhammer
Zebra Dove
