character;gender
Harry Potter;male
Frodo Baggins;male
Luke Skywalker;male
Katniss Everdeen;female
Sherlock Holmes;male
James Bond;male
Wonder Woman;female
Batman;male
Spider-Man;male
Superman;male
Captain America;male
Iron Man;male
The Hulk;male
Thor;male
Black Widow;female
Elsa from Frozen;female
Mickey Mouse;male
Bugs Bunny;male
Pikachu;genderless
Sonic the Hedgehog;male
Lara Croft;female
Gandalf;male
Aladdin;male
Cinderella;female
Ariel from The Little Mermaid;female
Belle from Beauty and the Beast;female
Jasmine from Aladdin;female
Mulan;female
Tinker Bell;female
Peter Pan;male
Captain Hook;male
Winnie the Pooh;male
Donkey from Shrek;male
Fiona from Shrek;female
Pinocchio;male
The Grinch;male
Scrooge from A Christmas Carol;male
The Cat in the Hat;male
The Lorax;genderless
The Big Bad Wolf;male
Little Red Riding Hood;female
Puss in Boots;male
Rapunzel;female
Sleeping Beauty;female
Snow White;female
Maleficent;female
Ursula from The Little Mermaid;female
Jafar from Aladdin;male
Gaston from Beauty and the Beast;male
Scar from The Lion King;male
Simba from The Lion King;male
Mufasa from The Lion King;male
Woody from Toy Story;male
Buzz Lightyear from Toy Story;male
Mr. Potato Head from Toy Story;male
Slinky Dog from Toy Story;male
Jessie from Toy Story;female
Rex from Toy Story;male
Hamm from Toy Story;male
Lightning McQueen from Cars;male
Mater from Cars;male
Doc Hudson from Cars;male
Mike Wazowski;male
Sulley;male
Randall Boggs;male
Remy from Ratatouille;male
Linguini from Ratatouille;male
Joy from Inside Out;female
Sadness from Inside Out;female
Anger from Inside Out;male
Fear from Inside Out;male
Disgust from Inside Out;female
WALL-E from WALL-E;male
EVE from WALL-E;female
Syndrome from The Incredibles;male
Edna Mode from The Incredibles;female
Violet from The Incredibles;female
Dash from The Incredibles;male
Frozone from The Incredibles;male
Ratigan from The Great Mouse Detective;male
Basil from The Great Mouse Detective;male
Baloo from The Jungle Book;male
Bagheera from The Jungle Book;male
King Louie from The Jungle Book;male
Mowgli from The Jungle Book;male
Luke Skywalker;male
Princess Leia Organa;female
Han Solo;male
Darth Vader;male
Chewbacca;male
R2-D2;genderless
