firstname;gender
AIrjen;idiot
Aarav;male
Abdel;male
Abdi;male
Abdul;male
Abdullah;male
Achille;male
Adam;male
Ádám;male
Adama;male
Adi;male
Adil;male
Adrian;male
Agus;male
Ahmad;male
Ahmed;male
Ahmet;male
Ahsan;male
Aidan;male
Aisea;male
Akihiko;male
Akira;male
Alain;male
Alejandro;male
Aleksandar;male
Aleksandr;male
Alem;male
Alessandro;male
Alexander;male
Alexandre;male
Alexandros;male
Alexandru;male
Ali;male
Aliaksandr;male
Aliaksei;male
Alik;male
Alioune;male
Amadou;male
Ambrose;male
Amer;male
Amin;male
Amir;male
Amr;male
An;male
Andre;male
André;male
Andrea;male
Andreas;male
Andrei;male
Andrej;male
Andrés;male
Andriy;male
Angus;male
Anil;male
Anis;male
Ante;male
Antoine;male
Antonio;male
Antonis;male
Antonius;male
Anupong;male
Arash;male
Arben;male
Ariel;male
Arjun;male
Arjuna;male
Armand;male
Arturo;male
Asad;male
Ashwin;male
Augustus;male
Avraham;male
Awad;male
Babacar;male
Baptiste;male
Basil;male
Bence;male
Benjamin;male
Benjamín;male
Binh;male
Binod;male
Blerim;male
Bongani;male
Boonma;male
Boris;male
Bram;male
Brian;male
Bruno;male
Budi;male
Burak;male
Caleb;male
Callum;male
Calvin;male
Carlo;male
Carlos;male
Cem;male
Chamara;male
Chanwit;male
Charbel;male
Chatchai;male
Cheick;male
Cheikh;male
Chen;male
Chen Wei;male
Cheng;male
Cheuk;male
Chih-Hao;male
Chinedu;male
Chinnawat;male
Christian;male
Christopher;male
Christos;male
Chun;male
Cillian;male
Claude;male
Collins;male
Connor;male
Constantine;male
Cooper;male
Cristóbal;male
Daan;male
Daichi;male
Daiki;male
Damian;male
Damien;male
Daniel;male
Darius;male
Darko;male
David;male
Dávid;male
Davide;male
Dawit;male
Decimus;male
Declan;male
Dedi;male
Dejan;male
Dennis;male
Dev;male
Diego;male
Dieudonné;male
Dilshan;male
Dimitar;male
Dimitrios;male
Dinesh;male
Dmitri;male
Dmitry;male
Dmytro;male
Dominic;male
Donovan;male
Dritan;male
Duc;male
Dylan;male
Dženan;male
Dzmitry;male
Edey;male
Edgar;male
Eduardo;male
Eiji;male
Eitan;male
Elias;male
Elijah;male
Emeka;male
Émile;male
Emir;male
Emmanuel;male
Emre;male
Eric;male
Erik;male
Ernst;male
Ethan;male
Étienne;male
Evan;male
Ewan;male
Fa'afetai;male
Fadi;male
Faisal;male
Faizal;male
Farah;male
Farhad;male
Farhan;male
Farid;male
Faruk;male
Fathi;male
Felipe;male
Felix;male
Feng;male
Finlay;male
Finn;male
Florian;male
Florin;male
Floris;male
Francesco;male
Francis;male
Francisco;male
François;male
Gabriel;male
Gaius;male
Gareth;male
Gentian;male
Georges;male
Georgi;male
Georgios;male
Gergő;male
Gilbert;male
Giovanni;male
Giuseppe;male
Goran;male
Govinda;male
Gunnar;male
Guo;male
Gustave;male
Habtamu;male
Hafiz;male
Hailu;male
Hamid;male
Hamish;male
Hamza;male
Hani;male
Hannes;male
Harald;male
Haris;male
Harrison;male
Haruki;male
Haruto;male
Hasan;male
Hassan;male
Hassen;male
Hector;male
Hendra;male
Henri;male
Henrik;male
Henry;male
Hideki;male
Hieu;male
Hiroshi;male
Hisham;male
Ho;male
Huang;male
Hugo;male
Hussein;male
Huw;male
Hyun-woo;male
Ibrahim;male
Ibrahima;male
Ieuan;male
Ifan;male
Ignacio;male
Igor;male
Ikerior;male
Ilaisa;male
Ilir;male
Imran;male
Innocent;male
Ioannis;male
Ion;male
Iosefa;male
Iram;male
Isaac;male
Isamu;male
Iskandar;male
István;male
Itay;male
Ivan;male
Jabulani;male
Jack;male
Jakub;male
Jamal;male
James;male
Jan;male
Ján;male
Jasmin;male
Jason;male
Javier;male
Jean;male
Jean-Claude;male
Jean-Paul;male
Jelani;male
Jerome;male
Ji-hoon;male
Ji-hyeon;male
Ji-hyun;male
Jia Hui;male
Jian;male
Jiang;male
Jirayu;male
John;male
Joko;male
Jonathan;male
Jone;male
Joon-ho;male
José;male
Josef;male
Joseph;male
Joshua;male
Josip;male
Juan;male
Jules;male
Julian;male
Julius;male
Juma;male
Jun;male
Junichi;male
Justinian;male
Kabuo;male
Kacper;male
Kai;male
Kai Jie;male
Kaito;male
Kamal;male
Kameli;male
Kamran;male
Kapila;male
Kareem;male
Karim;male
Kazuki;male
Kazuo;male
Kebekl;male
Kendrick;male
Kenji;male
Kenjiro;male
Kevin;male
Kgosi;male
Khairul;male
Khaled;male
Khalid;male
Khoa;male
Kiril;male
Koffi;male
Kofi;male
Koji;male
Kota;male
Krishna;male
Krit;male
Kwame;male
Lachlan;male
Lars;male
Leif;male
Lekinio;male
Leo;male
Leonardo;male
Levente;male
Levi;male
Li;male
Lial;male
Liam;male
Liang;male
Likin;male
Lin;male
Liu;male
Long;male
Lorenzo;male
Louis;male
Luan;male
Luca;male
Lucas;male
Lucian;male
Lucius;male
Ludwig;male
Luis;male
Luka;male
Lukáš;male
Łukasz;male
Mackerel;male
Magnus;male
Mahfuz;male
Mahinda;male
Mahmoud;male
Malakai;male
Malcolm;male
Malik;male
Mamadou;male
Man;male
Mandla;male
Manu;male
Manuel;male
Marcel;male
Marcello;male
Marcelo;male
Marco;male
Marcos;male
Marcus;male
Marián;male
Mario;male
Marius;male
Marko;male
Martin;male
Martín;male
Masaru;male
Masashi;male
Mason;male
Matagi;male
Máté;male
Matej;male
Mateusz;male
Mathieu;male
Matías;male
Matthew;male
Matthias;male
Max;male
Maxim;male
Maximilian;male
Maximus;male
Mees;male
Mehdi;male
Mehmet;male
Mehran;male
Mejit;male
Melekeok;male
Michael;male
Michal;male
Michał;male
Michel;male
Miguel;male
Mika;male
Mikalai;male
Mikhail;male
Milan;male
Min-ho;male
Min-joon;male
Ming;male
Ming Wei;male
Ming-Hui;male
Minh;male
Mirza;male
Modibo;male
Mohamed;male
Mohammad;male
Mohammed;male
Mohd;male
Mortimer;male
Mosese;male
Moshe;male
Mostafa;male
Moussa;male
Mpho;male
Murat;male
Murray;male
Musa;male
Mustafa;male
Mykhailo;male
Nabil;male
Nadav;male
Nalin;male
Nam;male
Naoki;male
Narong;male
Nasir;male
Nasser;male
Nassim;male
Nathan;male
Natnael;male
Nattapong;male
Navid;male
Neimo;male
Nemo;male
Nenad;male
Nermin;male
Ngerulmud;male
Niall;male
Nicolae;male
Nicolas;male
Niels;male
Nigel;male
Nikola;male
Nikolai;male
Nikolaos;male
Nikolay;male
Nima;male
Niroshan;male
Nizar;male
Noah;male
Noboru;male
Octavius;male
Odin;male
Olaf;male
Olamide;male
Oleg;male
Oleksandr;male
Olis;male
Oliver;male
Olivier;male
Ollei;male
Oluwaseun;male
Omar;male
