-charactertype- character;both
-element- Mage;both
-element- Wizard;male
-element- Witch;female
-element- diety;both
-element- god;male
-element- goddess;female
-musicgenre-mancer;both
-pokemontype- type;both
-humanoid- queen;female
-humanoid- king;male
Abbot;both
Abjurer;both
Acrobat;both
Activist;both
Actor;male
Actress;female
Adventurer;both
Air traffic controller;both
Airbender;both
Alchemist;both
Amazone;female
Android;both
Angel;both
Angel of -conceptsuffix- and -conceptsuffix-;both
Anthropologist;both
Apothecary;both
Arcane trickster;both
Arcanist;both
Archeologist;both
Architect;both
Archmage;both
Artisan;both
Artist;both
Assassin;both
Astronaut;both
Astronomer;both
Athlete;both
Attacker;both
Author;both
Avatar;both
Bagpiper;both
Baker;both
Baker;both
Ballerina;female
Ballerino;male
Ballroom Dancer;both
Barbarian;both
Barber;both
Bard;both
Barista;both
Baron;male
Baroness;female
Base jumper;both
Baseball Player;both
Beast tamer;both
Beastmaster;both
Beekeeper;both
Belly dancer;female
Berseker;both
bimbo;female
Biologist;both
Bishop;both
Blacksmith;both
Bladesinger;both
Blood mage;both
Bohemian;both
Bollywood Dancer;both
Bond Girl;female
Boss;both
Bookbinder;both
Botanist;both
Bounty hunter;both
Brawler;both
Brewer;both
Bride;female
Brigadier General;both
Businessperson;both
Butcher;both
Bully;both
Calligrapher;both
Canon;both
Captain;both
Cardinal;both
Carpenter;both
Cartographer;both
Caveman;male
Cavewoman;female
Ceasar;both
Celestial;both
CEO;both
Chancellor;both
Chaos mage;both
Chaplain;both
Chairperson;both
Chauffeur;both
Cheerleader;female
Chef;both
Chemist;both
Chimney Sweep;both
Chronicler;both
Chronomancer;both
Citizen;both
Cleric;both
Clerk;both
Cloaked figure;both
Clockmaker;both
Clown;both
College student;both
Colonel;both
Command Sergeant Major;both
Commander;both
Concubine;female
Confessor;both
Conquistador;both
Construction worker;both
Construction worker;both
Cook;both
Cooper;both
Corporal;both
Cosplayer;both
Costume designer;both
Count;male
Countess;female
Court jester;both
Cowboy;male
Cowgirl;female
Crone;female
Crusader;both
Cryptographer;both
Curate;both
Cyborg;both
Dance teacher;both
Dancer;both
Dandy;male
Dark Knight;both
Dark Souls Boss;both
Deacon;both
Death knight;both
Death knight;both
Deep-Sea Diver;both
Defender;both
Demonist;both
Demon Hunter;both
Demon Queen;female
Demon King;male
Designer;both
Detective;both
Diplomat;both
Disney Princess;female
DJ;both
Dockworker;both
Doctor;both
Doll;both
Dragon knight;both
Dragon rider;both
Dragon slayer;both
Dreamweaver;both
Druid;both
Duchess;female
Duke;male
Earthbender;both
Ecologist;both
Economist;both
Elder;both
Elemental mage;both
Elementalist;both
Emergency medical technician;both
Emperor;male
Empress;female
Enchanter;both
Enforcer;both
Engineer;both
Engineer;both
Engineer;both
Entomologist;both
Entrepreneur;both
Environmentalist;both
Envoy;both
Eskimo;both
Executioner;both
Exorcist;both
Explorer;both
Falconer;both
Fallen Paladin;both
Farmer;both
Farrier;both
Fashion designer;both
Fashion model;both
Fashionista;female
Fast Food Employee;both
