character;gender
Tom Hanks;male
Leonardo DiCaprio;male
Robert De Niro;male
Al Pacino;male
Marlon Brando;male
Morgan Freeman;male
Denzel Washington;male
Samuel L. Jackson;male
Anthony Hopkins;male
Sean Connery;male
Clint Eastwood;male
Harrison Ford;male
Johnny Depp;male
Brad Pitt;male
George Clooney;male
Matt Damon;male
Will Smith;male
Mark Wahlberg;male
Christian Bale;male
Tom Cruise;male
Daniel Day-Lewis;male
Robin Williams;male
Jim Carrey;male
Eddie Murphy;male
Bill Murray;male
Michael Keaton;male
Steve Martin;male
John Travolta;male
Kevin Costner;male
Mel Gibson;male
Ben Affleck;male
Hugh Jackman;male
Chris Hemsworth;male
Ryan Reynolds;male
Chris Evans;male
Robert Downey Jr.;male
Nicolas Cage;male
Keanu Reeves;male
Pierce Brosnan;male
Colin Firth;male
Sean Bean;male
Tim Robbins;male
Gary Oldman;male
Sean Penn;male
Laurence Fishburne;male
Jamie Foxx;male
Hugh Grant;male
Jude Law;male
Matthew McConaughey;male
Liam Neeson;male
Joaquin Phoenix;male
Eddie Redmayne;male
Adam Sandler;male
Will Ferrell;male
Ben Stiller;male
Owen Wilson;male
Jason Bateman;male
Seth Rogen;male
Zac Efron;male
John Goodman;male
Jeff Goldblum;male
Robin Wright;female
Mark Ruffalo;male
Tom Hardy;male
Jake Gyllenhaal;male
Joseph Gordon-Levitt;male
Ryan Gosling;male
Robert Pattinson;male
Orlando Bloom;male
Channing Tatum;male
Shia LaBeouf;male
Michael Fassbender;male
Jeremy Renner;male
Chris Pine;male
Armie Hammer;male
Ashton Kutcher;male
Timothy Olyphant;male
Terrence Howard;male
Michael B. Jordan;male
Rami Malek;male
Henry Cavill;male
Idris Elba;male
Tom Holland;male
Taron Egerton;male
Richard Gere;male
Hugh Laurie;male
Benedict Cumberbatch;male
David Tennant;male
Matt Smith;male
Peter Capaldi;male
Christopher Eccleston;male
Jon Hamm;male
Bryan Cranston;male
Aaron Paul;male
Paul Rudd;male
Adam Driver;male
Daniel Radcliffe;male
Meryl Streep;female
Julia Roberts;female
Angelina Jolie;female
Cate Blanchett;female
Nicole Kidman;female
Emma Watson;female
Scarlett Johansson;female
Charlize Theron;female
Sandra Bullock;female
Jennifer Aniston;female
Jennifer Lawrence;female
Reese Witherspoon;female
Kate Winslet;female
Anne Hathaway;female
Natalie Portman;female
Mila Kunis;female
Emma Stone;female
Anya Taylor-Joy;female
Keira Knightley;female
Julianne Moore;female
Viola Davis;female
Brie Larson;female
Helen Mirren;female
